tar,exp,run,E,rho,mae,rmse,Jacobian
Pa,2,2,8,0.9578529958606061,0.20455873148810885,0.25430218154855944,-0.22126569037098837
Dn,2,2,3,0.9140573520058155,0.30197546403956604,0.3914768504457569,0.7575397873531841
Pa,2,3,8,0.9544557592770161,0.20570032899781054,0.26038679527786407,-0.21235044879915418
Dn,2,3,2,0.9216755049566523,0.3041358640114328,0.3808357544714136,0.9697066037144538
Pa,2,4,8,0.9448200770189231,0.22384999239881104,0.28751561338110165,-0.23342351643238154
Dn,2,4,2,0.8969561365573722,0.33169244592576236,0.4331572326266495,0.8353105300197832
Pa,2,5,8,0.9550317323327864,0.20564551754156557,0.2627028906900282,-0.20375120827564508
Dn,2,5,3,0.9250386881045319,0.30624449532817466,0.3669063229448619,0.7459484290107604
Pa,2,6,2,0.9013252743358087,0.30831960430733285,0.42202989999524915,-0.45750211866446294
Dn,2,6,2,0.9013248114984829,0.30832724113125876,0.422030512508287,0.83768003013302
Pa,2,7,8,0.9522280645000086,0.2120737193361985,0.27157964969271,-0.21903603155879922
Dn,2,7,3,0.90276321633333,0.30862136530938006,0.41638123787493414,0.7560841215841865
Pa,2,8,8,0.9367294896186792,0.2491114169821984,0.3092444893766715,-0.17810976985618074
Dn,2,8,2,0.9094260872863685,0.31767732069302107,0.4062714298948646,0.8838501710996092
Pa,2,9,8,0.9453126075607473,0.22389851887547838,0.28354565905419227,-0.17570748011479143
Dn,2,9,2,0.8953866703218426,0.3207183082121879,0.4359696070181404,0.8364543684036037
Pa,2,10,8,0.9590147461103321,0.19975496750092314,0.2492169682273779,-0.17753914800743634
Dn,2,10,2,0.9132648212109022,0.2885420145188871,0.3976677592596825,0.8469144046538626
Pa,2,11,8,0.9547377255104198,0.21591259260245665,0.2650083214285182,-0.18437999526114093
Dn,2,11,3,0.9139332769431902,0.32110991888980017,0.3958413774249604,0.791180434095167
Pa,2,12,2,0.9072812266522846,0.3173837147298024,0.41133624000553604,-0.3870458769702454
Dn,2,12,3,0.9121531895793945,0.30890572104911157,0.39751097711215755,0.752019335312856
Pa,2,13,8,0.9487422043478214,0.22422176312107872,0.27853161736365367,-0.22879615501809406
Dn,2,13,2,0.8958400033607168,0.3299349410406547,0.4333145344570742,0.8110262439018499
Pa,2,14,3,0.9431764431700631,0.2635333967973044,0.322281446453835,-0.17849148257652225
Dn,2,14,2,0.9070966390146459,0.32396460075299244,0.4119081973547317,0.8298198652481769
Pa,2,15,8,0.9541521766137628,0.20104210472129816,0.25976898675282456,-0.22584873182303863
Dn,2,15,2,0.9136852088310878,0.31048492222765034,0.39999543612704197,1.1103049283825
Pa,2,16,8,0.9448208201764511,0.2267395381636351,0.2891737892416479,-0.2213684145977946
Dn,2,16,2,0.9008468085839666,0.3088315129231646,0.4243621195691828,0.8422066689338951
Pa,2,17,8,0.9576867977552349,0.20443948956642605,0.2530364120172659,-0.21164992961804968
